path,size_bytes,last_commit_date,sqlite_hits,intelligence_dir_hits,openclaw_hits,vps_hits,todo_open_hits,phase1_hits,total_stale_hits,suggested_tier
.claude/agents/security-reviewer.md,1219,2026-04-29,0,0,0,0,1,0,1,REVIEW (.claude tooling)
.claude/commands/init.md,6173,2026-04-29,1,0,0,0,0,0,1,REVIEW (.claude tooling)
.claude/commands/security-check.md,12388,2026-04-29,0,0,0,0,1,0,1,REVIEW (.claude tooling)
.claude/commands/verify-visual.md,7140,2026-04-29,0,0,0,0,1,0,1,REVIEW (.claude tooling)
.claude/rules/suggest-commands.md,797,2026-04-29,0,0,0,0,1,0,1,REVIEW (.claude tooling)
deploy/openclaw-skills/guardian-db/SKILL.md,7543,2026-04-29,0,0,1,0,0,0,1,DELETE (openclaw)
docs/API_REFERENCE.md,436,2026-04-29,0,0,1,0,0,0,1,UPDATE (has stale terms)
docs/BIXBIT_DIRECT_API.md,8308,2026-04-29,0,0,0,0,0,1,1,UPDATE (has stale terms)
docs/CORE_DATABASE_AUDIT_2026-04-23.md,8662,2026-04-29,1,0,0,0,0,0,1,ARCHIVE (migration done)
docs/OPEN_LOG_UPLOADER_VISION.md,21561,2026-04-29,0,0,0,0,0,1,1,UPDATE (has stale terms)
docs/PERPLEXITY_PROMPT_MINING_INTELLIGENCE_CATALOG_V2.md,17352,2026-04-29,1,0,0,0,0,0,1,UPDATE (has stale terms)
docs/REPAIR.md,7714,2026-04-29,0,0,0,1,0,0,1,UPDATE (has stale terms)
docs/RUNBOOK_BUCKET_3_RECONCILIATION_2026-04-29.md,8394,2026-04-29,0,0,0,0,1,0,1,UPDATE (has stale terms)
docs/SESSION_LOG_2026-04-10-afternoon.md,4501,2026-04-29,0,0,0,1,0,0,1,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-29.md,29756,2026-04-29,0,0,0,1,0,0,1,ARCHIVE (historical)
docs/SESSION_NOTE_2026-04-29_web_gui_mode_selector.md,5988,2026-04-29,0,0,0,1,0,0,1,ARCHIVE (historical)
docs/SESSION_SUMMARY_2026-04-13-afternoon.md,489,2026-04-29,0,0,1,0,0,0,1,ARCHIVE (historical)
intelligence-catalog/LIVING_CATALOG.md,8146,2026-04-29,0,0,0,1,0,0,1,DELETE (deprecated tree)
intelligence-catalog/research/MINER_CATALOG_RESEARCH_NOTES.md,7839,2026-04-29,0,0,0,0,0,1,1,DELETE (deprecated tree)
.claude/agents/README.md,3845,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/build-error-resolver.md,6332,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/code-reviewer.md,1152,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/deployer.md,5204,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/doc-updater.md,1217,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/e2e-runner.md,6731,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/planner.md,1403,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/refactor-cleaner.md,1223,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/tdd-guide.md,1216,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/agents/visual-verifier.md,7140,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/ai-loop-test.md,2374,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/ai-loop.md,14266,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/catchup.md,825,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/check-agent-readiness.md,12004,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/checkpoint.md,3449,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/compliance-check.md,18086,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/create-commit.md,6916,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/create-pr.md,5829,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/create-skill.md,11786,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/create-todo.md,3832,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/dashboard.md,5864,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/debug-browser.md,12423,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/debug.md,16403,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/deploy.md,8061,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/design-check.md,8599,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/deslop.md,2866,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/docs-check.md,15700,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/dogfood.md,3186,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/evolve.md,5275,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/guide.md,12540,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/iterate.md,34555,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/kickoff.md,5963,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/learn.md,5974,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/log-skill.md,1659,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/memory-clean.md,4711,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/mode.md,2749,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/monitor.md,2967,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/multitask.md,21716,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/orchestrate.md,5144,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/pipeline.md,4989,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/plan-status.md,4722,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/pre-commit-check.md,12425,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/pre-pr-check.md,26367,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/rams.md,8157,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/remind.md,3364,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/review.md,3355,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/scrap.md,3289,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/status.md,6415,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/summarize.md,9081,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/tasks-cleanup.md,7973,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/tdd.md,4595,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
.claude/commands/techdebt.md,9601,2026-04-29,0,0,0,0,0,0,0,REVIEW (.claude tooling)
